,count,mean,std,min,25%,50%,75%,max,missing_count,missing_percent
bandgap_ev,519.0,2.853718689788054,0.22625165768162991,2.49,2.68,2.8,3.02,3.33,0,0.0
surface_area_m2g,519.0,71.4539499036609,27.352921868682373,13.2,56.349999999999994,67.9,82.3,149.8,0,0.0
catalyst_dosage_gl,519.0,1.0298651252408477,0.6044990436243826,0.25,0.5,1.0,1.5,2.0,0,0.0
initial_dye_conc_mgl,519.0,22.63005780346821,15.095255531853109,5.0,10.0,20.0,30.0,50.0,0,0.0
ph,519.0,6.571290944123314,2.3666612338657775,3.0,4.5,7.0,8.5,10.0,0,0.0
light_intensity_mwcm2,519.0,69.94219653179191,39.08332515048385,15.0,35.0,75.0,100.0,150.0,0,0.0
reaction_time_min,519.0,105.14450867052022,50.704765904440904,30.0,60.0,120.0,150.0,180.0,0,0.0
degradation_efficiency_percent,519.0,53.87414258188825,27.86709025521632,6.95,29.2,51.13,81.735,99.9,0,0.0
rate_constant_k_min1,519.0,0.010638747591522158,0.0077977132186319836,0.00114,0.004405,0.00823,0.015215,0.0357,0,0.0
